scenario,family,truth,judge,kind,rep_or_policy,model,verdict,score,correct,latency,error,note,rationale
no_change_000,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.04,,,
no_change_000,no_change,PASS,ai:summary,ai,summary,qwen-llm,PASS,95.0,1,1.64,,,Canary shows minor increase in mean duration but median is similar. Variance reduced slightly.
no_change_000,no_change,PASS,ai:raw,ai,raw,qwen-llm,PASS,75.0,1,2.91,,,"Canary shows increased variability and higher max durations, indicating potential instability."
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,qwen-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_000,no_change,PASS,ai:summary,ai,summary,phi4-llm,PASS,85.0,1,9.89,,,"The canary shows a slight increase in mean request duration but has reduced standard deviation and stable percentile values compared to the control. No upward trend is observed, indicating stability."
no_change_000,no_change,PASS,ai:raw,ai,raw,phi4-llm,FAIL,65.0,0,6.23,,,"The canary shows increased variance and slightly worse tail metrics compared to control, indicating potential instability despite similar median values. The overall score reflects marginal health due "
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,phi4-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_000,no_change,PASS,ai:summary,ai,summary,olmo2-llm,FAIL,20.0,0,5.72,,,"The canary shows increased variability, a worse performance tail, and an upward trend compared to the control, indicating instability and potential issues."
no_change_000,no_change,PASS,ai:raw,ai,raw,olmo2-llm,FAIL,45.0,0,3.16,,,Higher variance and p95 value in canary suggest instability compared to stable control.
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,olmo2-llm,FAIL,20.0,0,0.0,,ai=summary/Fail;ai,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,olmo2-llm,PASS,100.0,1,0.0,,ai=summary/Fail;statistical,
no_change_000,no_change,PASS,ai:summary,ai,summary,mistral-nemo-llm,PASS,75.0,1,11.49,,,Canary shows higher request duration at high percentiles with no improvement in trend.
no_change_000,no_change,PASS,ai:raw,ai,raw,mistral-nemo-llm,PASS,75.0,1,4.64,,,"Canary has higher max value (0.2072 vs 0.1998) and slightly higher standard deviation, indicating potential instability."
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;both,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,mistral-nemo-llm,PASS,100.0,1,0.0,,ai=summary/Pass;statistical,
no_change_000,no_change,PASS,ai:summary,ai,summary,deepseek-r1-llm,PASS,95.0,1,30.23,,,"The experiment shows slightly better metrics without notable degradation, making promotion safe."
