run_id,ts,dataset_id,prompt_id,prompt_hash,model,judge,representation,family,scenario_id,seed,truth_label,verdict,score,correct,latency_s,tokens_in,tokens_out,finish_reason,error_kind,error,rationale
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,,,-,statistical,,no_change,no_change_000,20260621,PASS,PASS,100.0,1,0.03,,,,,,
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,v1-frozen-2026-06,ae9455dfe48cb0f3,qwen-llm,ai,summary,no_change,no_change_000,20260621,PASS,PASS,95.0,1,1.68,652,91,stop,,,Canary shows minor increase in mean duration but median is similar. Variance reduced slightly.
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,v1-frozen-2026-06,ae9455dfe48cb0f3,qwen-llm,ai,raw,no_change,no_change_000,20260621,PASS,PASS,75.0,1,1.61,934,87,stop,,,"Canary shows increased variability and higher max durations, indicating potential instability."
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,,,qwen-llm,hybrid,gated,no_change,no_change_000,20260621,PASS,PASS,100.0,1,0.0,,,,,,
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,,,qwen-llm,hybrid,or,no_change,no_change_000,20260621,PASS,PASS,100.0,1,0.0,,,,,,
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,,,qwen-llm,hybrid,and,no_change,no_change_000,20260621,PASS,PASS,100.0,1,0.0,,,,,,
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,v1-frozen-2026-06,ae9455dfe48cb0f3,phi4-llm,ai,summary,no_change,no_change_000,20260621,PASS,PASS,85.0,1,10.55,598,110,stop,,,"The canary shows a slight increase in mean request duration but has reduced standard deviation and stable percentile values compared to the control. No upward trend is observed, indicating stability."
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,v1-frozen-2026-06,ae9455dfe48cb0f3,phi4-llm,ai,raw,no_change,no_change_000,20260621,PASS,FAIL,65.0,0,6.0,802,107,stop,,,"The canary shows increased variance and slightly worse tail metrics compared to control, indicating potential instability despite similar median values. The overall score reflects marginal health due "
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,,,phi4-llm,hybrid,gated,no_change,no_change_000,20260621,PASS,PASS,100.0,1,0.0,,,,,,
n5-corrected-20260731T121527,2026-07-31T13:36:36+00:00,original-180,,,phi4-llm,hybrid,or,no_change,no_change_000,20260621,PASS,PASS,100.0,1,0.0,,,,,,
