scenario,family,seed,judge,model,y_true,y_pred,score,correct,latency,error,note
no_change_000,no_change,20260621,statistical,-,PASS,PASS,100.0,1,0.02,,
no_change_000,no_change,20260621,ai:summary,qwen-llm,PASS,PASS,95.0,1,1.71,,
no_change_000,no_change,20260621,ai:raw,qwen-llm,PASS,PASS,75.0,1,1.57,,
no_change_000,no_change,20260621,hybrid:gated,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_000,no_change,20260621,hybrid:or,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_000,no_change,20260621,hybrid:and,qwen-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_000,no_change,20260621,ai:summary,phi4-llm,PASS,PASS,85.0,1,19.83,,
no_change_000,no_change,20260621,ai:raw,phi4-llm,PASS,FAIL,65.0,0,5.89,,
no_change_000,no_change,20260621,hybrid:gated,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_000,no_change,20260621,hybrid:or,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_000,no_change,20260621,hybrid:and,phi4-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_000,no_change,20260621,ai:summary,olmo2-llm,PASS,FAIL,20.0,0,6.12,,
no_change_000,no_change,20260621,ai:raw,olmo2-llm,PASS,FAIL,45.0,0,3.24,,
no_change_000,no_change,20260621,hybrid:gated,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_000,no_change,20260621,hybrid:or,olmo2-llm,PASS,FAIL,20.0,0,0.0,,ai=summary/Fail;ai
no_change_000,no_change,20260621,hybrid:and,olmo2-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Fail;statistical
no_change_000,no_change,20260621,ai:summary,mistral-nemo-llm,PASS,PASS,75.0,1,15.17,,
no_change_000,no_change,20260621,ai:raw,mistral-nemo-llm,PASS,PASS,75.0,1,4.8,,
no_change_000,no_change,20260621,hybrid:gated,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_000,no_change,20260621,hybrid:or,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_000,no_change,20260621,hybrid:and,mistral-nemo-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_000,no_change,20260621,ai:summary,deepseek-r1-llm,PASS,PASS,95.0,1,30.67,,
no_change_000,no_change,20260621,ai:raw,deepseek-r1-llm,PASS,PASS,95.0,1,27.78,,
no_change_000,no_change,20260621,hybrid:gated,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_000,no_change,20260621,hybrid:or,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;both
no_change_000,no_change,20260621,hybrid:and,deepseek-r1-llm,PASS,PASS,100.0,1,0.0,,ai=summary/Pass;statistical
no_change_000,no_change,20260621,ai:plot,moondream-vlm,PASS,FAIL,70.0,0,2.52,,
no_change_000,no_change,20260621,hybrid:gated,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_000,no_change,20260621,hybrid:or,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;both
no_change_000,no_change,20260621,hybrid:and,moondream-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_000,no_change,20260621,ai:plot,granite-vision-vlm,PASS,FAIL,50.0,0,6.75,,
no_change_000,no_change,20260621,hybrid:gated,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_000,no_change,20260621,hybrid:or,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;both
no_change_000,no_change,20260621,hybrid:and,granite-vision-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Marginal;statistical
no_change_000,no_change,20260621,ai:plot,minicpm-v-vlm,PASS,PASS,85.0,1,7.75,,
no_change_000,no_change,20260621,hybrid:gated,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_000,no_change,20260621,hybrid:or,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;both
no_change_000,no_change,20260621,hybrid:and,minicpm-v-vlm,PASS,PASS,100.0,1,0.0,,ai=plot/Pass;statistical
no_change_001,no_change,20260621,statistical,-,PASS,PASS,100.0,1,0.05,,
