scenario,family,truth,judge,kind,rep_or_policy,model,verdict,score,correct,latency,error,note,rationale
no_change_000,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.02,,,
no_change_000,no_change,PASS,ai:summary,ai,summary,claude-opus-4-8-vlm,PASS,90.0,1,13.13,,cache,"Canary latency is comparable to control with marginally higher mean but lower variance and improved tail percentiles. Slope is flat, indicating stability. Safe to promote."
no_change_000,no_change,PASS,ai:raw,ai,raw,claude-opus-4-8-vlm,PASS,90.0,1,13.4,,live,"Canary latency mean matches control (~0.20s). Canary shows slightly tighter spread and reduced tail extremes (fewer low/high outliers). No emerging upward trend. Metric is stable and comparable, safe "
no_change_000,no_change,PASS,ai:plot,ai,plot,claude-opus-4-8-vlm,PASS,88.0,1,16.82,,cache,"Canary latency is comparable to control with negligibly higher mean (+0.75%). It shows lower variance (stddev 0.0057 vs 0.0098) and a tighter tail (p99 0.2103 vs 0.2155), plus a flat trend. Overall mo"
no_change_000,no_change,PASS,hybrid:gated,hybrid,gated,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_000,no_change,PASS,hybrid:or,hybrid,or,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_000,no_change,PASS,hybrid:and,hybrid,and,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_001,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
no_change_001,no_change,PASS,ai:summary,ai,summary,claude-opus-4-8-vlm,PASS,88.0,1,13.83,,cache,"Canary latency mean/median are marginally lower with comparable tail (p95/p99/max) versus control. Slightly higher variance (0.0095 vs 0.0073) is minor and offset by a flat/negative slope, indicating "
no_change_001,no_change,PASS,ai:raw,ai,raw,claude-opus-4-8-vlm,PASS,88.0,1,13.08,,live,"Canary latency distribution closely matches control with near-identical mean, slightly wider but non-material spread, similar tail values, and no emerging upward trend. Safe to promote."
no_change_001,no_change,PASS,ai:plot,ai,plot,claude-opus-4-8-vlm,PASS,88.0,1,21.68,,cache,"Canary mean and median are marginally lower with comparable p95/p99 and max. Variance is slightly higher (0.0095 vs 0.0073) but not material, and the slope is flat to negative. No emerging trend or ta"
no_change_001,no_change,PASS,hybrid:gated,hybrid,gated,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_001,no_change,PASS,hybrid:or,hybrid,or,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_001,no_change,PASS,hybrid:and,hybrid,and,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_002,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.03,,,
no_change_002,no_change,PASS,ai:summary,ai,summary,claude-opus-4-8-vlm,PASS,82.0,1,14.44,,cache,"Canary mean and median are marginally lower with comparable tail latencies. Variance is modestly higher (0.0093 vs 0.0068) and slope turned slightly positive, but magnitudes are small and tails do not"
no_change_002,no_change,PASS,ai:raw,ai,raw,claude-opus-4-8-vlm,PASS,85.0,1,17.85,,live,"Canary latency distribution is statistically comparable to control. Means nearly identical, variance similar, tail values within normal range, and no emerging upward trend. Safe to promote."
no_change_002,no_change,PASS,ai:plot,ai,plot,claude-opus-4-8-vlm,PASS,82.0,1,20.95,,cache,"Canary mean and median match control closely, and tail percentiles (p90/p95/p99) are comparable. Spread is modestly higher (0.0093 vs 0.0068) with a small positive slope, but within acceptable noise. "
no_change_002,no_change,PASS,hybrid:gated,hybrid,gated,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_002,no_change,PASS,hybrid:or,hybrid,or,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
no_change_002,no_change,PASS,hybrid:and,hybrid,and,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_003,no_change,PASS,statistical,statistical,,-,PASS,100.0,1,0.04,,,
no_change_003,no_change,PASS,ai:summary,ai,summary,claude-opus-4-8-vlm,PASS,88.0,1,13.55,,cache,"Canary shows nearly identical mean and median latency with comparable variance to control. Tail p99 and max are slightly elevated (0.2137 vs 0.2101, 0.2147 vs 0.2104) but marginal. Slope is flat, indi"
no_change_003,no_change,PASS,ai:raw,ai,raw,claude-opus-4-8-vlm,PASS,92.0,1,12.89,,live,"Canary latency distribution closely matches control. Means near 0.198s in both, similar variance and tail behavior (max ~0.215 vs ~0.210), no emerging upward trend. Comparable and stable; safe to prom"
no_change_003,no_change,PASS,ai:plot,ai,plot,claude-opus-4-8-vlm,PASS,90.0,1,13.09,,cache,"Canary latency matches control closely with comparable variance and flat trend. Minor tail increase (p99, max) is within noise. Stable and safe to promote."
no_change_003,no_change,PASS,hybrid:gated,hybrid,gated,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;statistical,
no_change_003,no_change,PASS,hybrid:or,hybrid,or,claude-opus-4-8-vlm,PASS,100.0,1,0.0,,ai=plot/Pass;both,
